"","latitude","longitude","propertyTaxRate","garageSpaces","parkingSpaces","yearBuilt","latestPrice","numPriceChanges","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","numOfPrimarySchools","numOfElementarySchools","numOfMiddleSchools","numOfHighSchools","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories","city_austin","city_del.valle","city_driftwood","city_manor","city_pflugerville","homeType_Condo","homeType_Multiple.Occupancy","homeType_Single.Family","homeType_Townhouse","homeType_Vacant.Land"
"numOfAppliances",0.00922780726104998,-0.0197014140960831,0.015584124472756,0.180154001595675,0.179545810835213,0.0915432821269796,0.0251298147865757,0.06286401737085,0.120697122169077,0.0110002485803443,1,0.196488043707115,0.136519677158996,0.160246014074241,0.0159860281601628,0.11378631955771,0.0747168067642082,0.0220188702743603,0.0564548543145688,-0.0079519787585117,0.001308570722856,0.010329465559566,-0.00214585463842112,0.0110072906656354,0.0360796295676499,0.0428009146367624,0.0335155943234687,0.0980122283120067,0.049333027411497,0.0971632185897437,0.00999459235806828,-0.00816285555641642,0.0124186103447833,-0.00300074368100245,-0.0129413615250663,0.0383566902209287,-0.0374381328892097,-0.00874474782988245,0.0384422545090744,-0.0824052672334864
"numOfParkingFeatures",0.14805491310406,-0.0115995667025127,0.269683028380235,0.647994577853433,0.647914332819251,0.038014292483416,0.0958092116777585,0.11548517520578,0.227380277172148,0.0373620568621269,0.196488043707115,1,0.144416104480141,0.108129272387255,0.0264434969806111,0.0542560299308791,0.0728509308696723,0.00326214794089675,0.118856973744759,-0.0156114576290305,0.00310997038268789,0.0142722829236755,-0.029739339374097,-0.0204062046050125,0.0846459980352406,0.0264277454219621,0.00967301711987821,0.113773990800793,0.100917974916351,0.105163276466164,0.0219991749808807,-0.0218874203586754,-0.00528996047098411,-0.00799973206180203,-0.00242836394001323,-0.0421634433523159,0.00575909624726253,0.0229658778190155,0.0243084108995225,-0.0129602137882455
"numOfPatioAndPorchFeatures",-0.021574379179372,-0.0887673749179163,-0.000267473913050238,0.237373588439319,0.236309961193823,0.0431453246223539,0.0813088930665695,-0.0218514473707687,0.262028400734204,0.0933827553456356,0.136519677158996,0.144416104480141,1,0.530243493616489,0.0547316239663739,0.35673487190503,0.0291929677032859,0.012247851377134,0.0555203939718134,-0.00296476197562846,-0.0156195686268842,0.0107556823666767,-0.0406214647879518,0.0335158739322275,0.0533133555464177,0.0224779571033738,0.0536154373718924,0.0595030657074486,0.0439402798488364,0.0161676152999857,0.0247825823166787,-0.0263053296419971,0.00633928582446515,-0.00125418334233931,-0.0104046017101796,-0.0205973581392325,-0.0481331390338813,0.0462607171086382,-0.00853019331618066,-0.0310016961997063
"numOfSecurityFeatures",-0.0323014750911427,-0.0899890838465261,0.015853619533549,0.166893830261749,0.166711361771537,0.149560248210913,0.0576866481202931,-0.0145881562066551,0.197471729960793,0.0667385648851304,0.160246014074241,0.108129272387255,0.530243493616489,1,0.0215216891008412,0.380604338212481,0.0391467462899217,0.0059142324788356,0.0862801872171825,-0.00257051422121952,-0.0172069146465411,0.012737503163035,-0.0277137047820513,0.0544295900616285,0.0472174319457881,0.0352954861084952,0.0435827158254284,0.0976783133133577,0.0698116659189158,0.0620114661634925,-0.00596137832796295,-0.0113971359526056,0.0324495192106149,0.00327736302526418,0.0114615644699074,0.00862928423703521,-0.0401712934993428,0.023399346546651,-0.0117018492101848,-0.0335832146002434
"numOfWaterfrontFeatures",0.0131835617130412,-0.021261642059606,-0.0109248341560782,0.0364012720334882,0.0364186282603685,-0.0100352764528488,0.134339496419279,0.0206130122622187,0.0642965793674449,-0.00298182418462424,0.0159860281601628,0.0264434969806111,0.0547316239663739,0.0215216891008412,1,0.023390944573371,-0.00435456033269109,-0.000304334644406218,0.0560069956885846,-0.0325562474656698,0.0346086189977477,0.016547412307538,-0.0265626484370517,0.0362866592057957,0.0286566677764561,0.0145472134116965,0.0155548002442467,0.0285419841585073,0.00205349154893315,0.017544921063058,0.00410919716117489,-0.00331372123284616,-0.00112969512804145,-0.000841885115630367,-0.00195815449520839,-0.00756717429157991,-0.00329199567771492,-0.0084278593556531,-0.00459201611649242,0.0552770296780613
"numOfWindowFeatures",0.0153622336280479,-0.120759181120746,0.0190176283889204,0.0546288618183473,0.0543282458128245,0.0699368902145731,0.0568310201863359,0.00265142940972635,0.111750422138819,-0.0161740914082571,0.11378631955771,0.0542560299308791,0.35673487190503,0.380604338212481,0.023390944573371,1,0.0201166697072035,-0.00353490468670501,0.113033272377823,-0.0252140649820687,0.00334247989192479,0.0135252905681242,-0.0515044761880629,0.0440261263802679,0.122625567232498,0.0789129010156287,0.109010498555581,0.0880737689378505,0.0769419938434067,0.0573066551015809,0.0163465920353422,-0.0170091737485278,0.0133339996233146,-0.000297620988147693,-0.0129552686705499,0.00868215880856962,-0.0274447285210437,0.0100778974683457,0.00396937649845088,-0.0290149154396863
"numOfCommunityFeatures",0.000955598323938485,-0.0618882983717919,0.0343818893691541,0.0892170935838743,0.0850961776686499,0.0468747379265917,-0.00623956934607327,0.0493950507112171,0.063343002061349,0.0203405095109755,0.0747168067642082,0.0728509308696723,0.0291929677032859,0.0391467462899217,-0.00435456033269109,0.0201166697072035,1,-0.000651795848757205,0.0512397769980711,-0.0463046497821643,-0.00949099063889882,0.0430764149853533,-0.0531444851230408,0.0510582748946883,0.0375045378862669,-0.0210171224739845,0.00121828745827466,0.0441304562514157,0.0425051744441774,0.0134052239914,0.00335225501686006,-0.00845680591884275,-0.00288304651296999,-0.00214853891699762,0.00986138238152086,0.000513665872015801,0.000473129280795293,0.00748871096738406,-0.0117190874985133,-0.00776604685065393
"lotSizeSqFt",0.00225052930570949,0.000671596668480299,-0.00221402556064092,0.0256497031918383,0.0256510814219023,-0.0139146133020441,0.0228323683359625,0.000135120995930198,-0.00340281389975863,-0.00071025229457923,0.0220188702743603,0.00326214794089675,0.012247851377134,0.0059142324788356,-0.000304334644406218,-0.00353490468670501,-0.000651795848757205,1,0.0100765490346688,0.00211359026911582,-0.00186371912664127,-0.0009858633236049,0.000391142169913666,-0.000938230582959402,0.00641185801264206,0.00161744992124804,0.00644277025780637,0.0115914667089899,0.00588502196165088,0.00937676527573482,0.000969216323361866,-0.000815435509738298,-0.000157144053620208,-0.000180777189643833,-0.000475647982711935,-0.000702484758997086,-0.000791506864811464,0.000783288419342154,0.000299045803934675,-0.000359262923205215
"livingAreaSqFt",0.107581677760847,-0.431836314833648,0.0853370364979846,0.21086770847402,0.210719338176472,0.363497646261237,0.613371500643819,0.122822180502486,0.195260367009848,-0.0190709769019199,0.0564548543145688,0.118856973744759,0.0555203939718134,0.0862801872171825,0.0560069956885846,0.113033272377823,0.0512397769980711,0.0100765490346688,1,-0.205287984549411,0.164377622253655,0.186482650521155,-0.218736026310245,0.289900009554954,0.483060572472024,0.329518820311546,0.3758413287856,0.770065288720138,0.654025699268093,0.451635750129897,0.0263899999356259,-0.0411256920401016,0.0368926625262248,0.00510419310088,-0.00916850189742916,-0.12012192235132,-0.00398139122170881,0.100391672064024,-0.0493864555409742,0.0528504604209377
"numOfPrimarySchools",-0.0562000138277677,0.162073571189304,0.0251039223611094,-0.0512953233029618,-0.0508850109907919,-0.0639999050445137,-0.167443963656805,-0.0352792248222487,-0.0394959054068705,0.00971941718684024,-0.0079519787585117,-0.0156114576290305,-0.00296476197562846,-0.00257051422121952,-0.0325562474656698,-0.0252140649820687,-0.0463046497821643,0.00211359026911582,-0.205287984549411,1,-0.829416025219873,-0.536047324848999,0.53932379711098,-0.00263122157338083,-0.252278681619175,-0.0415150041178164,0.018528918415086,-0.157225149516645,-0.110262863469446,-0.0723112888081846,0.0115996052050387,0.0197930577451427,-0.0583927583891284,-0.0124474939429381,-0.0184134595059481,-0.0090362350431252,0.00168004867461668,0.0137750271427548,-0.0017519857204956,-0.0206967002239083
