"Model","InSampleAccuracy","OutOfSampleAccuracy","AUC"
"Logistic Regression",0.953386312418456,0.948213791193575,0.819888439834409
"Probit Model",0.946744158462816,0.942121296039878,0.813360768056615
"Decision Tree",0.968331158818646,0.968152866242038,NA
"Random Forest",0.99976278021587,0.970091387427305,0.962353141839543
"SVM",0.943541691377061,0.94378288562725,0.673510892943871
