"Model","In_Sample_RMSE","Out_Sample_RMSE","R2"
"Linear Regression",373388.097063996,352052.607213676,0.386061282990916
"Polynomial Regression",356843.067323916,367699.119494617,0.330277218640666
"Ridge Regression",331678.754256003,305702.625778571,0.537077563283565
"Lasso Regression",330788.843997689,310898.920839686,0.521206416589249
"Multivariate Linear Regression",328935.855466302,311303.929562909,0.519958153105349
"GAM",336674.519781081,325070.952459377,0.476560828494198
"SVM",356715.655820122,329265.790043744,0.462964352804774
"Random Forest",140191.778977892,241693.171556373,0.710639894741913
